date,GBX,USD
2015-08-25,186.84,2.9435735114173105
2015-08-26,185.52,2.9118384737545093
2015-08-27,191.36,2.9659785112622448
2015-08-28,194.34,2.997676024722488
2015-09-01,192.95,2.9701798114390883
2015-09-02,189.87,2.9064494416598916
2015-09-03,193.01,2.954633375208097
2015-09-04,192.5,2.936126923780674
2015-09-07,190.19,2.8901091388329156
2015-09-08,190.49,2.9123176488518596
2015-09-09,194.26,2.9926768649402344
2015-09-10,191.23,2.9366327813628796
2015-09-11,190.99,2.9492593546025745
2015-09-14,192.07,2.96766587887891
2015-09-15,191.16,2.949888737306076
2015-09-16,193.8,2.972747137763239
2015-09-17,194.62,3.0192222823313264
2015-09-18,193.1,3.005567563670817
2015-09-21,192.8,2.996282516939366
2015-09-22,192.87,2.994226610110803
2015-09-23,193.09,2.963078407349135
2015-09-25,195.21,2.972034173590099
2015-09-29,191.31,2.900620809236784
2015-09-30,193.37,2.9306165506416204
2015-10-01,195.64,2.960058042922634
2015-10-02,196.49,2.9761052657724787
2015-10-05,198.73,3.025332749218798
2015-10-06,200.99,3.0473781942078366
2015-10-07,198.65,3.0269488887524556
2015-10-08,199.73,3.0587118314589588
2015-10-09,201.26,3.0908550630320892
2015-10-12,200.93,3.078918924872866
2015-10-13,202.6,3.1026518203659217
2015-10-14,200.57,3.060672750005167
2015-10-15,199.99,3.0926660320933625
2015-10-16,201.26,3.111500698893419
2015-10-19,202.38,3.123522269527112
2015-10-20,203.53,3.1499994823802226
2015-10-21,204.06,3.1521786516388346
2015-10-22,203.4,3.1398441057183257
2015-10-23,206.58,3.1819677212679625
2015-10-26,207.81,3.186442458813755
2015-10-27,208.33,3.1997273681980514
2015-10-28,209.36,3.205095845997974
2015-10-29,209.7,3.2014066292067667
2015-10-30,208.58,3.195486493948185
2015-11-02,206.65,3.1892297339310605
2015-11-03,207.88,3.2060091690314554
2015-11-04,208.78,3.2192262949956105
2015-11-05,209.55,3.222985202236106
2015-11-06,210.96,3.209797305847942
2015-11-09,210.0,3.164220635311499
2015-11-10,208.07,3.145575423645222
2015-11-11,208.98,3.1705037183076374
2015-11-12,208.9,3.1809416755455584
2015-11-13,205.12,3.1210228030288056
2015-11-16,205.28,3.12298344009117
2015-11-17,208.26,3.1618123732748233
2015-11-18,207.39,3.152982405531749
2015-11-19,208.95,3.1913702268900193
2015-11-23,210.68,3.1948294198600524
2015-11-24,210.07,3.1799397838899806
2015-11-25,211.49,3.197198425312012
2015-11-26,212.0,3.2071458032783715
2015-11-27,212.1,3.2017900738992497
2015-11-30,213.35,3.2063652644011484
2015-12-01,212.11,3.2012451651125162
2015-12-02,214.12,3.227751059336335
2015-12-03,215.31,3.21383190314441
2015-12-04,210.21,3.178741948114054
2015-12-07,215.2,3.248255196819953
2015-12-08,214.58,3.2304342790909635
2015-12-09,212.93,3.1971465093313918
2015-12-10,210.17,3.1879745216910464
2015-12-11,209.9,3.177151668351871
2015-12-14,208.38,3.1661468839210327
2015-12-15,209.6,3.1784711173718367
2015-12-16,212.55,3.200276721983405
2015-12-17,216.17,3.232130225339501
2015-12-18,213.56,3.1849343336451015
2015-12-21,212.0,3.16314975401902
2015-12-22,212.6,3.1654291442650098
2015-12-23,215.14,3.1910957838985174
2015-12-24,216.19,3.2174998569284643
2015-12-29,218.07,3.2498803812995023
2015-12-30,220.17,3.2653923595595273
2015-12-31,218.53,3.2394759463517167
2016-01-04,214.73,3.161401487419857
2016-01-05,212.44,3.1268029758141003
2016-01-06,213.06,3.1232116981576783
2016-01-07,211.87,3.101519965077392
2016-01-08,209.76,3.0691906054798053
2016-01-11,209.1,3.037629485443466
2016-01-12,211.77,3.0796252907610313
2016-01-13,213.33,3.0851146062654586
2016-01-14,209.45,3.016918731007896
2016-01-15,210.57,3.0342500921500024
2016-01-18,208.54,2.9770518390000094
2016-01-19,210.12,2.9936832200484664
2016-01-20,210.29,2.9732739849044676
2016-01-21,209.45,2.9711979160514246
2016-01-22,209.8,2.981458371364916
2016-01-25,213.19,3.049098520903459
2016-01-26,212.24,3.0221405356828885
2016-01-27,214.06,3.07100491450704
2016-01-28,214.48,3.057769420843401
2016-01-29,215.78,3.0986618648450843
2016-02-01,220.92,3.151462380467956
2016-02-02,219.73,3.1723065511551156
2016-02-03,217.75,3.1375523187433787
2016-02-04,216.41,3.157002655024069
2016-02-05,215.86,3.1449100857492858
2016-02-08,212.42,3.0820261059781244
2016-02-09,210.88,3.043025086694744
2016-02-10,210.87,3.051786610925533
2016-02-11,211.02,3.068790339157246
2016-02-12,209.04,3.02497326840377
